"pstar","seltype_recoded","selalpha","pred_power"
0.13,"OD",0.2,0.0248597746513042
0.14,"OD",0.2,0.026529810933504
0.15,"OD",0.2,0.0283087804068603
0.16,"OD",0.2,0.0302033384133301
0.17,"OD",0.2,0.032220484891746
0.18,"OD",0.2,0.0343675735385808
0.19,"OD",0.2,0.0366523198714924
0.2,"OD",0.2,0.0390828079435423
0.21,"OD",0.2,0.0416674954265834
0.22,"OD",0.2,0.044415216751433
0.23,"OD",0.2,0.0473351839603911
0.24,"OD",0.2,0.0504369848948518
0.25,"OD",0.2,0.0537305783077374
0.26,"OD",0.2,0.0572262854579502
0.27,"OD",0.2,0.0609347777128669
0.28,"OD",0.2,0.0648670596561317
0.29,"OD",0.2,0.0690344471729187
0.3,"OD",0.2,0.0734485399648936
0.31,"OD",0.2,0.0781211879340281
0.32,"OD",0.2,0.0830644508701401
0.33,"OD",0.2,0.0882905508837061
0.34,"OD",0.2,0.0938118170454759
0.35,"OD",0.2,0.0996406217302262
0.36,"OD",0.2,0.10578930821624
0.37,"OD",0.2,0.112270109167432
0.38,"OD",0.2,0.119095055724025
0.39,"OD",0.2,0.126275877052623
0.4,"OD",0.2,0.133823890359483
0.41,"OD",0.2,0.141749881552992
0.42,"OD",0.2,0.150063976953642
0.43,"OD",0.2,0.158775506691549
0.44,"OD",0.2,0.16789286070129
0.45,"OD",0.2,0.177423338518274
0.46,"OD",0.2,0.187372994395236
0.47,"OD",0.2,0.197746479584911
0.48,"OD",0.2,0.20854688396678
0.49,"OD",0.2,0.219775579521249
0.5,"OD",0.2,0.231432068460925
0,"OD",0.625,0.00954874026279235
0.01,"OD",0.625,0.0102695177277897
0.02,"OD",0.625,0.0110440957145595
0.03,"OD",0.625,0.0118763951684203
0.04,"OD",0.625,0.0127706079848677
0.05,"OD",0.625,0.0137312134126805
0.06,"OD",0.625,0.0147629950777851
0.07,"OD",0.625,0.0158710585859273
0.08,"OD",0.625,0.017060849647295
0.09,"OD",0.625,0.0183381726488889
0.1,"OD",0.625,0.0197092095803717
0.11,"OD",0.625,0.0211805391960634
0.12,"OD",0.625,0.0227591562693934
0.13,"OD",0.625,0.0244524907661808
0.14,"OD",0.625,0.0262684267293208
0.15,"OD",0.625,0.0282153206295423
0.16,"OD",0.625,0.0303020188946616
0.17,"OD",0.625,0.0325378742830322
0.18,"OD",0.625,0.0349327607155922
0.19,"OD",0.625,0.0374970861250978
0.2,"OD",0.625,0.0402418028209556
0.21,"OD",0.625,0.0431784148039212
0.22,"OD",0.625,0.0463189813973907
0.23,"OD",0.625,0.049676116491971
0.24,"OD",0.625,0.0532629826286793
0.25,"OD",0.625,0.0570932790751222
0.26,"OD",0.625,0.061181222980405
0.27,"OD",0.625,0.0655415226309395
0.28,"OD",0.625,0.0701893417739257
0.29,"OD",0.625,0.0751402539318907
0.3,"OD",0.625,0.0804101856047475
0.31,"OD",0.625,0.086015347250501
0.32,"OD",0.625,0.0919721509577367
0.33,"OD",0.625,0.0982971137786778
0.34,"OD",0.625,0.105006745787608
0.35,"OD",0.625,0.112117422072729
0.36,"OD",0.625,0.119645238066903
0.37,"OD",0.625,0.127605847880542
0.38,"OD",0.625,0.136014285623563
0.39,"OD",0.625,0.144884770096631
0.4,"OD",0.625,0.154230493696523
0.41,"OD",0.625,0.16406339691497
0.42,"OD",0.625,0.174393930409782
0.43,"OD",0.625,0.185230807281788
0.44,"OD",0.625,0.196580748886528
