alpha power seltype Ne rec mut s1 s2 h t nsim
0.01 0.04 OD 20000 1e-7 1e-8 1 0.1 0 160000 100
0.01 0.04 OD 20000 1e-7 1e-8 0.5 1 0 160000 100
0.01 0.04 OD 20000 1e-7 1e-8 0.2 0.5 0 160000 100
0.01 0.04 OD 20000 1e-7 1e-8 0.1 0.05 0 160000 100
0.01 0.04 OD 20000 1e-7 1e-8 0.02 0.05 0 160000 100
0.01 0.04 OD 20000 1e-7 1e-8 0.01 0.01 0 160000 100
0.01 0.04 AP 20000 1e-8 1e-8 0.05 0.05 0.5 160000 100
0.01 0.0495049504950495 OD 20000 1e-7 1e-8 0.5 0.5 0 160000 101
0.01 0.03 SA 20000 1e-8 1e-8 0.5 0.2 0.25 160000 100
0.01 0.03 OD 2000 1e-8 1e-8 0.02 0.01 0 16000 100
0.01 0.02 OD 20000 1e-7 1e-8 0.1 0.01 0 160000 100
