alpha power seltype Ne rec mut s1 s2 t
0.15 NaN OD 2 1e-8 1e-8 0.01 0.09 160000
0.16 NaN OD 2 1e-8 1e-8 0.01 0.09 160000
0.17 NaN OD 2 1e-8 1e-8 0.01 0.09 160000
0.18 NaN OD 2 1e-8 1e-8 0.01 0.09 160000
0.19 NaN OD 2 1e-8 1e-8 0.01 0.09 160000
0.2 NaN OD 2 1e-8 1e-8 0.01 0.09 160000
0.21 NaN OD 2 1e-8 1e-8 0.01 0.09 160000
0.22 NaN OD 2 1e-8 1e-8 0.01 0.09 160000
0.23 NaN OD 2 1e-8 1e-8 0.01 0.09 160000
0.24 NaN OD 2 1e-8 1e-8 0.01 0.09 160000
0.25 NaN OD 2 1e-8 1e-8 0.01 0.09 160000
alpha power seltype Ne rec mut s1 s2 t
0.01 0 OD 2 1e-8 1e-8 0.01 0.09 16000
0.02 0.166666666666667 OD 2 1e-8 1e-8 0.01 0.09 16000
0.03 0.166666666666667 OD 2 1e-8 1e-8 0.01 0.09 16000
0.04 0.166666666666667 OD 2 1e-8 1e-8 0.01 0.09 16000
0.05 0.333333333333333 OD 2 1e-8 1e-8 0.01 0.09 16000
0.06 0.333333333333333 OD 2 1e-8 1e-8 0.01 0.09 16000
0.07 0.333333333333333 OD 2 1e-8 1e-8 0.01 0.09 16000
0.08 0.333333333333333 OD 2 1e-8 1e-8 0.01 0.09 16000
0.09 0.333333333333333 OD 2 1e-8 1e-8 0.01 0.09 16000
0.1 0.333333333333333 OD 2 1e-8 1e-8 0.01 0.09 16000
0.11 0.333333333333333 OD 2 1e-8 1e-8 0.01 0.09 16000
0.12 0.333333333333333 OD 2 1e-8 1e-8 0.01 0.09 16000
0.13 0.333333333333333 OD 2 1e-8 1e-8 0.01 0.09 16000
0.14 0.333333333333333 OD 2 1e-8 1e-8 0.01 0.09 16000
0.15 0.333333333333333 OD 2 1e-8 1e-8 0.01 0.09 16000
0.16 0.333333333333333 OD 2 1e-8 1e-8 0.01 0.09 16000
0.17 0.333333333333333 OD 2 1e-8 1e-8 0.01 0.09 16000
0.18 0.333333333333333 OD 2 1e-8 1e-8 0.01 0.09 16000
0.19 0.333333333333333 OD 2 1e-8 1e-8 0.01 0.09 16000
0.2 0.333333333333333 OD 2 1e-8 1e-8 0.01 0.09 16000
0.21 0.333333333333333 OD 2 1e-8 1e-8 0.01 0.09 16000
0.22 0.333333333333333 OD 2 1e-8 1e-8 0.01 0.09 16000
0.23 0.5 OD 2 1e-8 1e-8 0.01 0.09 16000
0.24 0.5 OD 2 1e-8 1e-8 0.01 0.09 16000
0.25 0.5 OD 2 1e-8 1e-8 0.01 0.09 16000
alpha power seltype Ne rec mut s1 s2 t
0.01 NaN OD 2 1e-8 1e-8 0.01 0.09 320000
0.02 NaN OD 2 1e-8 1e-8 0.01 0.09 320000
0.03 NaN OD 2 1e-8 1e-8 0.01 0.09 320000
0.04 NaN OD 2 1e-8 1e-8 0.01 0.09 320000
0.05 NaN OD 2 1e-8 1e-8 0.01 0.09 320000
0.06 NaN OD 2 1e-8 1e-8 0.01 0.09 320000
0.07 NaN OD 2 1e-8 1e-8 0.01 0.09 320000
0.08 NaN OD 2 1e-8 1e-8 0.01 0.09 320000
0.09 NaN OD 2 1e-8 1e-8 0.01 0.09 320000
0.1 NaN OD 2 1e-8 1e-8 0.01 0.09 320000
0.11 NaN OD 2 1e-8 1e-8 0.01 0.09 320000
0.12 NaN OD 2 1e-8 1e-8 0.01 0.09 320000
0.13 NaN OD 2 1e-8 1e-8 0.01 0.09 320000
0.14 NaN OD 2 1e-8 1e-8 0.01 0.09 320000
0.15 NaN OD 2 1e-8 1e-8 0.01 0.09 320000
0.16 NaN OD 2 1e-8 1e-8 0.01 0.09 320000
0.17 NaN OD 2 1e-8 1e-8 0.01 0.09 320000
0.18 NaN OD 2 1e-8 1e-8 0.01 0.09 320000
0.19 NaN OD 2 1e-8 1e-8 0.01 0.09 320000
0.2 NaN OD 2 1e-8 1e-8 0.01 0.09 320000
0.21 NaN OD 2 1e-8 1e-8 0.01 0.09 320000
0.22 NaN OD 2 1e-8 1e-8 0.01 0.09 320000
